float_1,float_2,obj,objective0,id,algorithm,level,score,test,fracid
2.3431457505076194,0.0,52.04273288174113,52.04273288174113,0,Center,1,inf,nan,0
-0.5563491861040464,-2.899494936611666,185.41102614033116,185.41102614033116,1,Center,1,inf,nan,0
4.0,2.8994949366116654,91.63843583531872,91.63843583531872,2,Center,1,inf,nan,0
0.0,2.3431457505076194,77.22022294265548,77.22022294265548,3,Center,1,inf,nan,0
-2.899494936611666,-0.5563491861040464,101.88548837180579,101.88548837180579,4,Center,1,inf,nan,0
2.8994949366116654,4.0,143.57782822871854,143.57782822871854,5,Center,1,inf,nan,0
-2.3431457505076194,0.0,117.65081389595449,117.65081389595449,6,Center,1,inf,nan,0
-4.0,-2.899494936611666,11.135402904098392,11.135402904098392,7,Center,1,inf,nan,0
0.5563491861040468,2.8994949366116654,64.55439781947139,64.55439781947139,8,Center,1,inf,nan,0
0.0,-2.3431457505076194,180.3186359649908,180.3186359649908,9,Center,1,inf,nan,0
-2.899494936611666,-4.0,80.68287631171157,80.68287631171157,10,Center,1,inf,nan,0
2.8994949366116654,0.5563491861040468,18.519192059067937,18.519192059067937,11,Center,1,inf,nan,0
3.3137084989847603,0.0,13.58911891072501,13.58911891072501,12,Center,2,-5.204273288174113e+21,nan,0
2.112698372208091,-1.2010101267766693,71.73632218164266,71.73632218164266,13,Center,2,-5.204273288174113e+21,nan,0
4.0,1.2010101267766693,40.87856546177157,40.87856546177157,14,Center,2,-5.204273288174113e+21,nan,0
1.3725830020304786,0.0,114.76956800434375,114.76956800434375,15,Center,2,-5.204273288174113e+21,nan,0
0.17157287525380926,-1.2010101267766693,177.15620164857566,177.15620164857566,16,Center,2,-5.204273288174113e+21,nan,0
2.573593128807148,1.2010101267766693,18.988633821974695,18.988633821974695,17,Center,2,-5.204273288174113e+21,nan,0
1.3725830020304786,0.0,114.76956800434375,114.76956800434375,18,Center,2,-5.204273288174113e+21,nan,0
0.17157287525380926,-1.2010101267766693,177.15620164857566,177.15620164857566,19,Center,2,-5.204273288174113e+21,nan,0
2.573593128807148,1.2010101267766693,18.988633821974695,18.988633821974695,20,Center,2,-5.204273288174113e+21,nan,0
1.3725830020304786,0.0,114.76956800434375,114.76956800434375,21,Center,2,-5.204273288174113e+21,nan,0
0.17157287525380926,-1.2010101267766693,177.15620164857566,177.15620164857566,22,Center,2,-5.204273288174113e+21,nan,0
2.573593128807148,1.2010101267766693,18.988633821974695,18.988633821974695,23,Center,2,-5.204273288174113e+21,nan,0
1.7746032555838172,0.0,88.93956932885074,88.93956932885074,24,Center,3,-314.65802640624975,nan,0
1.2771285725254904,-0.49747468305832676,127.32608985886658,127.32608985886658,25,Center,3,-314.65802640624975,nan,0
2.272077938642144,0.49747468305832676,48.591950443125825,48.591950443125825,26,Center,3,-314.65802640624975,nan,0
0.97056274847714,0.0,137.51763751783193,137.51763751783193,27,Center,3,-314.65802640624975,nan,0
0.4730880654188132,-0.49747468305832676,166.52671523448782,166.52671523448782,28,Center,3,-314.65802640624975,nan,0
1.4680374315354667,0.49747468305832676,97.60468827143524,97.60468827143524,29,Center,3,-314.65802640624975,nan,0
0.97056274847714,0.0,137.51763751783193,137.51763751783193,30,Center,3,-314.65802640624975,nan,0
0.4730880654188132,-0.49747468305832676,166.52671523448782,166.52671523448782,31,Center,3,-314.65802640624975,nan,0
1.4680374315354667,0.49747468305832676,97.60468827143524,97.60468827143524,32,Center,3,-314.65802640624975,nan,0
0.97056274847714,0.0,137.51763751783193,137.51763751783193,33,Center,3,-314.65802640624975,nan,0
0.4730880654188132,-0.49747468305832676,166.52671523448782,166.52671523448782,34,Center,3,-314.65802640624975,nan,0
1.4680374315354667,0.49747468305832676,97.60468827143524,97.60468827143524,35,Center,3,-314.65802640624975,nan,0
1.1370849898476036,0.0,128.60035382760313,128.60035382760313,36,Center,4,-262.39010624434985,nan,0
0.9310242291875879,-0.20606076066001577,143.21906645673675,143.21906645673675,37,Center,4,-262.39010624434985,nan,0
1.3431457505076194,0.20606076066001577,112.33969035934973,112.33969035934973,38,Center,4,-262.39010624434985,nan,0
0.8040405071066763,0.0,145.58526688265613,145.58526688265613,39,Center,4,-262.39010624434985,nan,0
0.5979797464466605,-0.20606076066001577,158.1335330771354,158.1335330771354,40,Center,4,-262.39010624434985,nan,0
1.010101267766692,0.20606076066001577,130.8959497650503,130.8959497650503,41,Center,4,-262.39010624434985,nan,0
0.8040405071066763,0.0,145.58526688265613,145.58526688265613,42,Center,4,-262.39010624434985,nan,0
0.5979797464466605,-0.20606076066001577,158.1335330771354,158.1335330771354,43,Center,4,-262.39010624434985,nan,0
1.010101267766692,0.20606076066001577,130.8959497650503,130.8959497650503,44,Center,4,-262.39010624434985,nan,0
0.8040405071066763,0.0,145.58526688265613,145.58526688265613,45,Center,4,-262.39010624434985,nan,0
0.5979797464466605,-0.20606076066001577,158.1335330771354,158.1335330771354,46,Center,4,-262.39010624434985,nan,0
1.010101267766692,0.20606076066001577,130.8959497650503,130.8959497650503,47,Center,4,-262.39010624434985,nan,0
0.9583694396573836,0.0,138.138506987859,138.138506987859,48,ILS,5,-237.40252626395207,0,1.0
0.7876631161807932,0.0,146.32895201665966,146.32895201665966,49,ILS,5,-237.40252626395207,1,1.0
